id,Date,Home,Away,Winner,Score_Home,Score_Away,FGM_Home,FGA_Home,FGM_Away,FGA_Away,3PM_Home,3PA_Home,3PM_Away,3PA_Away,FTM_Home,FTA_Home,FTM_Away,FTA_Away,REB_Home,REB_Away,OR_Home,OR_Away,DR_Home,DR_Away,ASS_Home,ASS_Away,ST_Home,ST_Away,BL_Home,BL_Away,TO_Home,TO_Away,POT_Home,POT_Away,FBP_Home,FBP_Away,PIP_Home,PIP_Away,PF_Home,PF_Away,TF_Home,TF_Away,FF_Home,FF_Away
400277765,2012-11-05,Grizzlies,Jazz,Grizzlies,103,94,38,91,40,90,5,14,5,15,22,25,9,13,58,52,14,11,37,31,21,20,9,8,10,8,12,15,13,18,20,18,60,52,17,22,0,1,1,0,
400277766,2012-11-05,Mavericks,Trail Blazers,Mavericks,114,91,48,78,36,93,10,20,5,22,8,13,14,18,43,53,2,23,35,25,29,13,12,5,5,3,9,13,13,10,24,2,54,40,15,13,2,0,0,0,
400277767,2012-11-05,Spurs,Pacers,Spurs,101,79,41,87,27,79,8,18,6,20,11,13,19,22,48,55,11,17,34,31,25,11,11,3,2,7,8,19,18,8,9,14,52,24,17,17,1,0,0,0,
400277768,2012-11-05,Kings,Warriors,Kings,94,92,37,81,31,78,4,19,6,21,16,23,24,28,52,50,10,7,33,31,13,21,7,5,5,2,14,13,16,15,12,19,44,36,25,17,1,1,0,0,
400277769,2012-11-05,Clippers,Cavaliers,Cavaliers,101,108,39,74,40,92,9,25,14,29,14,16,14,22,40,57,9,18,29,25,23,24,7,12,13,2,25,19,20,21,17,20,48,36,24,18,0,0,0,0,
400277770,2012-11-06,Bulls,Magic,Bulls,99,93,40,84,36,86,2,6,8,19,17,24,13,17,55,50,9,11,34,32,27,23,7,4,7,5,9,12,10,13,9,9,34,30,12,22,0,1,0,0,
400277771,2012-11-06,Thunder,Raptors,Thunder,108,88,35,74,30,84,9,25,7,30,29,34,21,25,56,46,7,8,39,29,24,16,10,11,9,2,19,17,12,23,20,19,42,34,22,24,2,1,0,0,
400277772,2012-11-06,Nuggets,Pistons,Nuggets,109,97,41,92,35,78,10,30,6,12,17,22,21,25,58,45,21,8,31,27,23,26,9,6,11,9,15,15,19,14,14,9,56,44,21,19,1,0,0,0,
400277773,2012-11-07,Hornets,Suns,Suns,110,117,38,87,43,93,10,22,12,27,24,27,19,28,50,61,15,22,24,28,26,29,4,8,12,11,13,12,16,12,15,17,42,42,20,24,1,0,0,0,
400277774,2012-11-07,Celtics,Wizards,Celtics,100,94,34,81,39,95,4,13,10,29,28,34,6,7,60,50,6,10,38,34,26,25,9,8,5,6,19,20,25,18,16,15,32,40,17,27,1,2,0,0,
400277775,2012-11-07,Hawks,Pacers,Hawks,89,86,38,87,35,85,7,22,8,26,6,12,8,9,60,46,17,11,34,30,24,18,8,10,3,7,17,15,18,26,13,17,48,36,15,14,2,0,0,0,
400277776,2012-11-07,Heat,Nets,Heat,103,73,40,77,30,80,10,24,3,21,13,16,10,17,46,51,8,13,32,27,25,12,8,7,5,1,12,19,31,12,17,6,34,46,18,15,0,0,0,0,
400277777,2012-11-07,Bucks,Grizzlies,Grizzlies,90,108,35,91,44,83,6,15,6,16,14,21,14,19,50,57,16,11,25,38,22,28,10,7,9,5,10,14,19,18,20,20,38,46,18,20,2,0,0,1,
400277778,2012-11-07,Pelicans,76ers,76ers,62,77,23,69,35,84,4,19,4,22,12,16,3,5,52,49,11,9,36,34,18,19,8,5,9,6,24,15,10,26,9,8,20,30,12,16,0,0,0,0,
400277779,2012-11-07,Rockets,Nuggets,Nuggets,87,93,31,84,37,82,8,33,7,18,17,23,12,21,52,61,16,16,27,33,18,20,15,9,2,5,20,22,23,21,14,16,38,44,22,16,1,2,0,0,
400277780,2012-11-07,Timberwolves,Magic,Timberwolves,90,75,34,76,28,80,7,20,3,12,15,22,16,20,54,51,13,12,33,29,22,17,11,6,9,7,20,20,19,14,11,12,38,26,18,22,1,1,0,0,
400277781,2012-11-07,Mavericks,Raptors,Mavericks,109,104,39,84,36,81,8,21,5,22,23,35,27,31,58,48,16,10,31,28,21,21,4,7,6,1,12,10,2,8,19,3,42,48,23,28,0,3,0,1,
400277782,2012-11-07,Jazz,Lakers,Jazz,95,86,37,83,25,74,5,17,4,23,16,18,32,46,45,66,9,15,28,33,21,11,12,10,7,3,12,19,19,11,15,7,44,36,30,14,0,0,0,0,
400277783,2012-11-07,Kings,Pistons,Kings,105,103,40,82,36,73,7,16,8,22,18,24,23,31,51,42,14,10,28,23,15,23,8,4,3,6,15,17,19,13,15,17,56,50,21,20,1,0,1,1,
400277784,2012-11-07,Clippers,Spurs,Clippers,106,84,46,83,30,73,6,17,8,23,8,9,16,24,48,41,9,6,37,23,30,25,13,7,8,4,15,20,23,17,24,18,54,32,19,11,3,1,0,0,
400277785,2012-11-07,Warriors,Cavaliers,Warriors,106,96,42,78,36,86,5,18,11,32,17,23,13,21,51,49,7,11,37,28,28,20,11,7,4,1,17,16,30,16,17,10,48,30,22,26,1,1,0,0,
400277786,2012-11-08,Bulls,Thunder,Thunder,91,97,35,84,36,73,5,15,5,13,16,18,20,21,47,42,12,8,29,30,22,23,6,10,3,8,21,22,19,20,6,12,34,46,19,19,0,0,0,0,
400277787,2012-11-08,Trail Blazers,Clippers,Clippers,90,103,32,75,41,77,7,20,3,13,19,30,18,25,41,56,9,10,22,34,19,20,10,9,4,3,13,14,16,15,7,11,30,56,22,22,0,2,0,0,
400277788,2012-11-09,Wizards,Bucks,Bucks,91,101,34,78,40,78,4,18,6,15,19,22,15,19,41,48,10,6,26,32,23,21,13,11,4,6,20,21,28,24,24,24,28,44,24,21,0,1,1,0,
400277789,2012-11-09,Magic,Nets,Nets,68,107,30,70,41,82,4,11,9,23,4,8,16,25,39,55,7,15,28,33,19,21,3,9,6,6,18,11,14,24,6,13,30,46,22,13,1,0,0,1,
400277790,2012-11-09,Celtics,76ers,76ers,100,106,37,76,40,82,4,10,7,13,22,31,19,23,46,48,7,8,24,30,31,27,7,12,3,7,14,16,19,18,9,26,38,56,19,22,0,2,0,0,
400277791,2012-11-09,Knicks,Mavericks,Knicks,104,94,35,84,33,81,8,22,8,28,26,38,20,23,55,57,11,9,32,41,17,17,12,4,4,3,9,20,20,8,14,18,40,40,21,28,3,2,0,0,
400277792,2012-11-09,Hawks,Heat,Heat,89,95,34,81,37,76,9,25,7,22,12,16,14,16,45,47,7,8,29,28,20,22,4,8,5,2,13,15,16,16,19,13,26,40,16,22,1,0,0,0,
400277793,2012-11-09,Grizzlies,Rockets,Grizzlies,93,85,35,94,31,76,6,19,9,27,17,23,14,15,58,53,18,8,22,33,16,17,14,5,8,6,9,20,27,7,21,5,48,34,16,17,0,1,0,0,
400277794,2012-11-09,Pelicans,Hornets,Pelicans,107,99,43,83,40,83,8,22,7,21,13,21,12,18,50,47,13,15,27,26,29,17,5,7,7,9,9,12,17,9,12,10,46,46,15,17,1,0,0,1,
400277795,2012-11-09,Thunder,Pistons,Thunder,105,94,38,71,36,87,8,20,6,19,21,26,16,22,43,52,8,16,30,25,21,24,8,8,4,4,17,15,20,23,15,17,40,50,25,19,1,0,0,0,
400277796,2012-11-09,Timberwolves,Pacers,Timberwolves,96,94,35,70,37,84,2,9,5,18,24,28,15,17,44,44,5,11,29,26,23,18,7,7,5,4,16,13,17,17,12,14,42,44,16,21,1,0,0,0,
400277797,2012-11-09,Suns,Cavaliers,Suns,107,105,38,81,37,77,6,17,9,21,25,33,22,27,49,47,12,9,30,30,21,19,12,11,6,4,17,21,26,20,22,12,50,40,19,25,0,0,0,0,
400277798,2012-11-09,Kings,Spurs,Spurs,86,97,32,91,35,72,3,16,5,18,19,26,22,26,52,55,15,7,28,41,18,27,11,8,3,9,11,20,15,21,17,20,50,40,18,19,0,0,0,0,
400277799,2012-11-09,Nuggets,Jazz,Nuggets,104,84,40,92,32,87,6,17,4,23,18,25,16,22,66,54,13,14,40,31,26,19,11,5,12,12,12,18,23,20,21,17,46,38,17,21,0,0,0,0,
400277800,2012-11-09,Lakers,Warriors,Lakers,101,77,36,90,29,86,8,28,7,25,21,28,12,20,68,58,16,13,42,34,22,12,9,5,6,3,16,19,22,17,17,9,38,30,14,25,1,1,0,0,
400277801,2012-11-10,Raptors,76ers,76ers,83,93,30,79,34,73,12,26,6,14,11,16,19,25,45,54,7,9,28,37,20,21,6,8,4,4,13,15,17,17,2,15,24,32,21,19,1,0,0,0,
400277802,2012-11-10,Pacers,Wizards,Pacers,89,85,34,80,35,79,7,16,10,24,14,24,5,7,57,45,14,5,34,35,16,26,4,5,4,5,13,12,13,11,7,6,30,22,12,21,1,1,0,0,
400277803,2012-11-10,Hornets,Mavericks,Hornets,101,97,40,95,32,79,3,20,9,19,18,28,24,30,66,52,21,8,32,35,15,21,12,9,6,7,18,19,20,17,25,21,52,24,24,24,0,0,0,0,
400277804,2012-11-10,Bulls,Timberwolves,Bulls,87,80,34,80,33,85,6,13,3,13,13,16,11,15,55,50,14,13,33,27,19,23,6,7,9,3,14,11,9,16,12,8,32,38,19,20,1,0,0,0,
400277805,2012-11-10,Rockets,Pistons,Rockets,96,82,33,82,32,80,9,26,7,20,21,26,11,16,55,52,8,11,34,34,23,17,10,8,3,9,15,18,14,10,24,9,44,28,17,16,0,1,0,0,
400277806,2012-11-10,Bucks,Celtics,Celtics,92,96,35,88,32,72,3,19,5,15,19,26,27,34,52,55,16,7,28,33,20,20,7,4,3,4,11,14,17,13,15,12,48,32,25,22,0,0,0,0,
